Année	Mois	Prlt	Germes	Inhib	M.G.	M.P.	Cellules	Butyriques	Cryo	Lipolyse	IGG	Urée	Salmon	Listéria	Staph	Coliformes	Pseudom	E-coli
2014	2	1	12	NEG	4260	3590	701	3500	0,524	0,42		330						
2014	2	2	22	NEG	4170	3590	702		0,518	0,41		282						
2014	1	1	5	NEG	4220	3600	276	1100	0,517	0,47		265						
2014	1	2	21	NEG	4240	3550	611	2400	0,519	0,4		309						
2014	1	3		NEG	4260	3530	615		0,52	0,42		325						
2013	12	1		NEG	4550	3830	434	1300	0,52	0,46		274						
2013	12	2	46	NEG	4350	3730	444	930	0,519	0,41		300						
2013	12	3	38	NEG	4230	3580	223		0,519	0,43		297						
2013	11	1		NEG	4460	3810	328	2400	0,518	0,4		249						
2013	11	2	11	NEG	4460	3700	198	1700	0,522	0,4		335						
2013	11	3	19	NEG	4560	3790	461		0,521	0,42		276						
2013	10	1	17	NEG	4370	3710	254	80	0,519	0,41		240						
2013	10	2		NEG	4520	3850	260	1300	0,519	0,42		205						
2013	10	3	15	NEG	4580	3800	352		0,52	0,41		252						
2013	9	1	7	NEG	4190	3440	213	180	0,52	0,43		222						
2013	9	2	12	NEG	4380	3680	212		0,52	0,41		203						
2013	9	3		NEG	4300	3640	280		0,516			211						
2013	8	1	15	NEG	3900	3340	248	80	0,522	0,44		224						
2013	8	2	12	NEG	3950	3360	379		0,523	0,41		201						
2013	8	3		NEG	4020	3400	516		0,523	0,42		207						
2013	7	1	21	NEG	4040	3380	238	200	0,521	0,42		231						
2013	7	2	5	NEG	3850	3310	264		0,524	0,42		229						
2013	7	3		NEG	3910	3300	196		0,524	0,41		235						
2013	6	1	16	NEG	3980	3350	219		0,52	0,4		325						
2013	6	2	11	NEG	4040	3390	197	410	0,518	0,42		146						
2013	6	3		NEG	4130	3400	190		0,525	0,41		229						
2013	5	1	5	NEG	4040	3450	199	410	0,516	0,42		167						
2013	5	2	5	NEG	4000	3460	227		0,515	0,43		229						
2013	5	3		NEG	4040	3550	237		0,516	0,42		195						
2013	4	1	5	NEG	4210	3350	277	790	0,519	0,4		264						
2013	4	2		NEG	4110	3430	190		0,518	0,41		224						
2013	4	3		NEG	4280	3610	147		0,517	0,42		173						
2013	3	1	25	NEG	4110	3260	225	200	0,517			174						
2013	3	2		NEG	4030	3250	135	1700	0,522	0,42		277						
2013	3	3	10	NEG	4310	3330	192		0,522	0,42		338						
2013	2	1	8	NEG	4070	3490	305	1300	0,519	0,47		289						
2013	2	2		NEG	4150	3420	351	450	0,521	0,41		291						
2013	2	3	8	NEG	4000	3280	346		0,519	0,48		274						
2013	1	1		NEG	4310	3630	294	2400	0,521	0,42		268						
2013	1	2	17	NEG	4350	3470	508	2400	0,517	0,41		279						
2013	1	3	5	NEG	4280	3520	224		0,518	0,42		261						
2012	12	1		NEG	4540	3670	200	2200	0,521	0,42		222						
2012	12	2	22	NEG	4510	3640	385	1300	0,517	0,42		219						
2012	12	3	22	NEG	4530	3730	292		0,513	0,42		231						
2012	11	1	8	NEG	4420	3690	565	3500	0,523	0,41		283						
2012	11	2		NEG	4480	3700	401	1700	0,521	0,4		284						
2012	11	3	16	NEG	4400	3610	509		0,519	0,43		204						
2012	10	1	31	NEG	4720	3720	219	2200	0,516	0,57		314						
2012	10	2	25	NEG	4390	3640	556	3500	0,516	0,41		266						
2012	10	3		NEG	4510	3670	523		0,52	0,42		258						
2012	9	1	10	NEG	4000	3440	655		0,517	0,58		281						
2012	9	2	5	NEG	4260	3490	432	450	0,519	0,66		250						
2012	9	3		NEG	4350	3610	220		0,514	0,41		237						
2012	8	1	14	NEG	3830	3270	902	450	0,52	0,5		220						
2012	8	2	56	NEG	4040	3370	662		0,522	0,62		299						
2012	8	3		NEG	3940	3350	588		0,521	0,46		265						
2012	7	1	6	NEG	3730	3320	595		0,52			279						
2012	7	2	52	NEG	3980	3330	499	200	0,523			335						
2012	7	3		NEG	4180	3310	894		0,523			316						
2012	6	1	5	NEG	3950	3200	521		0,518			303						
2012	6	2	5	NEG	4220	3300	523	200	0,523	0,43		299						
2012	6	3		NEG	3960	3320	571		0,522			335						
2012	5	1		NEG	4400	3620	489	1700	0,52			174						
2012	5	2	7	NEG	4430	3530	417		0,521			262						
2012	5	3	5	NEG	4620	3460	482		0,523			209						
2012	4	1		NEG	4390	3660	824	450	0,522			207						
2012	4	2	14	NEG	4360	3680	694		0,521			214						
2012	4	3	12	NEG	4350	3830	387		0,521			174						
2012	3	1		NEG	4500	3730	671	1300	0,518			233						
2012	3	2	9	NEG	4500	3690	378	1300	0,519	0,35		221						
2012	3	3	59	NEG	4380	3730	776		0,518			221						
2012	2	1	8	NEG	4110	3350	403	790	0,514			361						
2012	2	2	86	NEG	4720	3910	860	790	0,52			211						
2012	2	3		NEG	4540	3840	459		0,52			261						
2012	1	1	111	NEG	4420	3780	635	1300	0,522			231						
2012	1	2	32	NEG	4590	3710	874	2200	0,521			258						
2012	1	3		NEG	4520	3820	818		0,52			235						
2011	12	1	17	NEG	4430	3730	601	2200	0,52	0,35		230						
2011	12	2	34	NEG	4240	3740	846	1700	0,52			244						
2011	12	3		NEG	4350	3820	1184		0,523			167						
2011	11	1	12	NEG	4710	3670	262	1300	0,514			159						
2011	11	2		NEG	4500	3700	397	9200	0,519			211						
2011	11	3	14	NEG	4440	3690	456		0,519			203						
2011	10	1		NEG	4540	3670	338	1700	0,518			212						
2011	10	2	22	NEG	4350	3570	330	450	0,517			167						
2011	10	3	9	NEG	4430	3610	273		0,517			180						
2011	9	1	6	NEG	4260	3430	302		0,522	0,35		201						
2011	9	2		NEG	4370	3580	302	1300	0,514			149						
2011	9	3	48	NEG	4470	3780	301		0,519			205						
2011	8	1	42	NEG	4320	3540	280		0,526			319						
2011	8	2		NEG	4180	3520	235	690	0,526			300						
2011	8	3		NEG	4290	3410	288		0,527			286						
2011	7	1	9	NEG	4220	3470	204		0,528			279						
2011	7	2		NEG	4160	3460	178	80	0,525			253						
2011	7	3	30	NEG	4270	3500	178		0,525			255						
2011	6	1	5	NEG	4170	3360	256		0,526	0,39		225						
2011	6	2	33	NEG	4270	3430	246	200	0,526			234						
2011	6	3		NEG	4270	3470	207		0,529			310						
2011	5	1	24	NEG	4140	3360	319		0,522			270						
2011	5	2	63	NEG	4050	3400	273	200	0,526			330						
2011	5	3	24	NEG	4120	3410	234		0,523			250						
2011	4	1	9	NEG	4230	3520	283	450	0,521			280						
2011	4	2	5	NEG	4300	3510	336		0,52			330						
2011	4	3	5	NEG	4050	3490	305		0,517			290						
2011	3	1	9	NEG	4560	3450	314	1300	0,517	0,35		240						
2011	3	2	47	NEG	4510	3430	291	450	0,516			240						
2011	3	3	61	NEG	4700	3510	435		0,515			290						
2011	2	1	6	NEG	4830	3570	423	1300	0,514			210						
2011	2	2	197	NEG	4680	3530	543	3500	0,514			240						
2011	2	3	30	NEG	4620	3540	293		0,513			220						
2011	1	1	15	NEG	4880	3780	488	2400	0,516			230						
2011	1	2	14	NEG	4880	3660	428	2400	0,512			220						
2011	1	3	17	NEG	4890	3580	780		0,513			220						
2010	12	1	6	NEG	5010	3710	418	5400	0,515	0,35		220						
2010	12	2	23	NEG	4920	3670	533	5400	0,514			220						
2010	12	3	15	NEG	4930	3690	591		0,517			190						
2010	11	1	8	NEG	5090	3650	301	3500	0,516			219						
2010	11	2	10	NEG	5000	3670	367	2400	0,516			230						
2010	11	3	7	NEG	4990	3670	427		0,52			220						
2010	10	1	7	NEG	5020	3830	474	370	0,512			180						
2010	10	2	5	NEG	5050	3790	370	450	0,512			220						
2010	10	3	5	NEG	4980	3810	337		0,515			250						
2010	9	1	5	NEG	4400	3600	350	200	0,517	0,5		230						
2010	9	2	5	NEG	4800	3630	385		0,511			220						
2010	9	3	5	NEG	4840	3810	353		0,512			170						
2010	8	1	5	NEG	4120	3480	309		0,519			260						
2010	8	2	6	NEG	4220	3510	255	80	0,518			250						
2010	8	3	5	NEG	4340	3480	278		0,52			250						
2010	7	1	5	NEG	4160	3420	357	80	0,521			260						
2010	7	2	7	NEG	4130	3450	349		0,517			260						
2010	7	3	5	NEG	4110	3390	362		0,518			240						
2010	6	1	88	NEG	4110	3490	378		0,518	0,46		210						
2010	6	2	10	NEG	4250	3480	304	80	0,519			220						
2010	6	3	5	NEG	4250	3560	279		0,518			280						
2010	5	1	18	NEG	4340	3460	576		0,516			380						
2010	5	2	5	NEG	4270	3380	314	200	0,515			280						
2010	5	3	55	NEG	4020	3460	286		0,517			240						
2010	4	1	37	NEG	4420	3460	458	790	0,519			230						
2010	4	2	22	NEG	4320	3530	491		0,516			260						
2010	4	3	5	NEG	4040	3470	374		0,516			260						
2010	3	1	75	NEG	4480	3450	633	200	0,518	0,35		180						
2010	3	2	13	NEG	4350	3510	317	200	0,518			170						
2010	3	3	6	NEG	4330	3520	345		0,518			200						
2010	2	1	60	NEG	4480	3650	941	1300	0,516			185						
2010	2	2	11	NEG	4570	3610	451	790	0,518			240						
2010	2	3	42	NEG	4510	3600	666		0,518			190						
2010	1	1	69	NEG	4580	3670	613	1300	0,516			150						
2010	1	2	82	NEG	4730	3640	416	1300	0,513			220						
2010	1	3	34	NEG	4470	3640	662		0,517			200						
2009	12	1	11	NEG	4630	3600	509	9200	0,518	0,39		160						
2009	12	2	9	NEG	4600	3620	688	1300	0,515			150						
2009	12	3	73	NEG	4600	3640	697		0,52			150						
2009	11	1	10	NEG	4600	3560	441	1300	0,519			170						
2009	11	2	12	NEG	4490	3490	659	1300	0,519			170						
2009	10	1	5	NEG	4630	3590	319	450	0,513			210						
2009	10	2	5	NEG	4540	3570	335	200	0,521			220						
2009	10	3	5	NEG	4660	3530	342		0,514			160						
2009	9	1	34	NEG	4300	3530	385	200	0,517	0,43		290						
2009	9	2	9	NEG	4620	3610	380		0,516			210						
2009	9	3	5	NEG	4600	3690	462		0,516			230						
2009	8	1	19	NEG	4140	3450	618	80	0,521			300						
2009	8	2	54	NEG	4130	3460	608		0,522			310						
2009	8	3	6	NEG	4230	3560	567		0,522			270						
2009	7	1	6	NEG	4020	3290	728		0,519			260						
2009	7	2	5	NEG	4110	3340	687	200	0,52			270						
2009	7	3	39	NEG	4080	3400	556		0,519			270						
2009	6	1	20	NEG	4350	3500	563		0,519	0,43		300						
2009	6	2	9	NEG	4200	3420	355	200	0,518			310						
2009	6	3	28	NEG	4170	3390	462		0,521			280						
2009	5	1	21	NEG	4250	3610	445		0,515			350						
2009	5	2	18	NEG	4220	3630	544	80	0,516			350						
2009	5	3		NEG	4190	3450	488		0,514			370						
2009	4	1	27	NEG	4410	3620	424		0,513			250						
2009	4	2	11	NEG	4300	3600	378	2200	0,515			270						
2009	4	3	7	NEG	4110	3650	342		0,516			300						
2009	3	1	17	NEG	4530	3630	478	200	0,516	0,35		210						
2009	3	2	14	NEG	4620	3600	561	790	0,514			200						
2009	3	3	5	NEG	4550	3610	542		0,516			230						
2009	2	1	15	NEG	4590	3690	573	2400	0,516			240						
2009	2	2	51	NEG	4730	3660	523	690	0,516			230						
2009	2	3	43	NEG	4600	3620	395		0,514			210						
2009	1	1	18	NEG	4800	3770	703	3500	0,511			180						
2009	1	2	24	NEG	4570	3750	507	5400	0,517			210						
2009	1	3	21	NEG	4900	3750	539		0,513			230						
2008	12	1	37	NEG	4570	3570	457	3500	0,518			239						
2008	12	2	41	NEG	4650	3640	554	16000	0,52			299						
2008	12	3		NEG	4670	3640	321		0,513	0,39		230						
2008	11	1	33	NEG	4720	3710	189	2800	0,521			180						
2008	11	2	21	NEG	4650	3600	348	2400	0,524			268						
2008	11	3	6	NEG	4530	3520	440		0,517			262						
2008	10	1	5	NEG	4560	3670	240	410	0,521			171						
2008	10	2	5	NEG	4650	3690	181	1700	0,518			201						
2008	10	3	8	NEG	4600	3630	227		0,521			251						
2008	9	1	20	NEG	4120	3390	281		0,527			313						
2008	9	2	10	NEG	4180	3400	283	1700	0,522	0,5		313						
2008	9	3	7	NEG	4320	3600	213		0,522			225						
2008	8	1	14	NEG	3880	3340	370	2200	0,528			298						
2008	8	2	27	NEG	3900	3340	453		0,525			257						
2008	8	3	14	NEG	4040	3370	379		0,525			240						
2008	7	1	5	NEG	3970	3330	292	80	0,527			322						
2008	7	2	11	NEG	3950	3370	414		0,528			308						
2008	7	3	9	NEG	3860	3310	432		0,524			322						
2008	6	1	5	NEG	4190	3360	245		0,525			262						
2008	6	2	9	NEG	3980	3470	274	3500	0,526			339						
2008	6	3	8	NEG	3900	3400	388		0,523	0,5		241						
2008	5	1	11	NEG	4250	3590	310	200	0,522			282						
2008	5	2	5	NEG	4270	3490	368		0,521			324						
2008	5	3	5	NEG	4290	3520	174		0,521			288						
2008	4	1	27	NEG	4510	3540	404	450	0,52			307						
2008	4	2	5	NEG	4430	3530	427		0,519			252						
2008	4	3	36	NEG	4380	3380	395		0,522			227						
2008	3	1	10	NEG	4370	3560	288	2400	0,523	0,39		322						
2008	3	2	5	NEG	4430	3560	470	5400	0,517			283						
2008	3	3	5	NEG	4590	3670	412		0,525			247						
2008	2	1	16	NEG	4620	3700	215	5400	0,521			321						
2008	2	2	18	NEG	4390	3570	183	3500	0,525			262						
2008	2	3	5	NEG	4510	3530	248		0,521			286						
2008	1	1	21	NEG	4730	3620	625	5400	0,517			281						
2008	1	2	7	NEG	4590	3710	329	24000	0,519			262						
2008	1	3	17	NEG	4580	3580	322		0,519			272						
2007	12	1	8	NEG	4700	3840		3500	0,519			235						
2007	12	2	9	NEG	4730	3850	228	3500	0,523	0,35		304						
2007	12	3	11	NEG	4770	3810	268		0,517			242						
2007	11	1	12	NEG	4520	3760	108	1300	0,519			303						
2007	11	2	5	NEG	4510	3720	121	2400	0,52			282						
2007	11	3	7	NEG	4660	3820	125		0,522			224						
2007	10	1	5	NEG	4490	3560	149	200	0,518			286						
2007	10	2	9	NEG	4380	3580	114	450	0,514			249						
2007	10	3	13	NEG	4420	3720	144		0,522			245						
2007	9	1	6	NEG	4520	3670	241	200	0,52			300						
2007	9	2	6	NEG	4460	3630	199		0,521			395						
2007	9	3	15	NEG	4480	3590	215		0,523	0,35		344						
2007	8	1	5	NEG	4250	3450	315		0,518			320						
2007	8	2	15	NEG	4250	3480	396	80	0,521			300						
2007	8	3	68	NEG	4320	3540	245		0,52			280						
2007	7	1	36	NEG	4030	3380	274	200	0,527			349						
2007	7	2	5	NEG	4270	3420	329		0,526			336						
2007	7	3	8	NEG	4310	3380	273		0,519			320						
2007	6	1	29	NEG	3980	3490	411	450	0,527			300						
2007	6	2	49	NEG	3980	3470	410		0,52	0,35		293						
